datetime,pm10
2017-04-17 15:00:00,177834.4935064935
2017-04-17 18:00:00,107500.45263157894
2017-04-17 21:00:00,125304.34645669292
2017-04-18 00:00:00,120341.88421052632
2017-04-18 03:00:00,128943.86315789474
2017-04-18 06:00:00,132206.41469816273
2017-04-18 09:00:00,132161.33684210526
2017-04-18 12:00:00,119990.33862433862
2017-04-18 15:00:00,129512.67546174143
2017-04-18 18:00:00,85774.58267716535
2017-04-18 21:00:00,98437.13684210526
2017-04-19 00:00:00,54440.70526315789
2017-04-19 03:00:00,94179.62204724409
2017-04-19 06:00:00,116198.53684210527
2017-04-19 09:00:00,126102.93963254594
2017-04-19 12:00:00,134143.73544973545
2017-04-19 15:00:00,118859.98950131233
2017-04-19 18:00:00,133726.67368421052
2017-04-19 21:00:00,164509.92631578946
2017-04-20 00:00:00,147491.27559055117
